,EVENT.DATE,INJURY.SEVERITY,AIRCRAFT.DAMAGE,AIRCRAFT.CATEGORY,MODEL,NUMBER.OF.ENGINES,ENGINE.TYPE,FAR.DESCRIPTION,AIR.CARRIER,TOTAL.FATAL.INJURIES,TOTAL.SERIOUS.INJURIES,WEATHER.CONDITION,BROAD.PHASE.OF.FLIGHT
3368,1982,Non-Fatal,Substantial,Airplane,PA-32R-300,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Layton A . Bennett,0.0,0.0,VMC,Takeoff
3374,1982,Non-Fatal,Substantial,Airplane,707-323C,4.0,Turbo Fan,Part 129: Foreign,Aerotal Ltda.,0.0,0.0,VMC,Takeoff
3391,1982,Non-Fatal,Substantial,Airplane,F-27-100,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Pilgrim Airlines,0.0,0.0,VMC,Taxi
3393,1982,Fatal(3),Destroyed,Airplane,PA-32-260,1.0,Reciprocating,Part 135: Air Taxi & Commuter,"Basco Flying Service, Inc.",3.0,2.0,IMC,Go-around
3396,1982,Non-Fatal,Substantial,Airplane,310R,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Philip O. Petrik,0.0,0.0,IMC,Landing
3405,1982,Non-Fatal,Substantial,Airplane,185,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Southern Seaplanes,0.0,0.0,VMC,Takeoff
3423,1982,Incident,Minor,Airplane,727-225,3.0,Turbo Fan,Part 121: Air Carrier,"Eastern Airlines, Inc.",0.0,0.0,VMC,Takeoff
3434,1982,Fatal(2),Destroyed,Airplane,SA-227AC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Pioneer Airlines,2.0,0.0,IMC,Descent
3435,1982,Incident,Minor,Airplane,G-159,2.0,Turbo Prop,Part 121: Air Carrier,Orion Airlines,0.0,0.0,VMC,Takeoff
3437,1982,Non-Fatal,Substantial,Airplane,SA-226TC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Flt America, Inc",0.0,0.0,VMC,Landing
3444,1982,Fatal(8),Destroyed,Airplane,DHC-2,1.0,Reciprocating,Part 135: Air Taxi & Commuter,"Tyee Airlines, Inc.",8.0,0.0,VMC,Maneuvering
3479,1982,Incident,Minor,Airplane,100,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,"Ozark Skyways, Inc.",0.0,0.0,VMC,Cruise
3489,1982,Fatal(2),Destroyed,Airplane,T210,1.0,Reciprocating,Part 135: Air Taxi & Commuter,"Custom Air Transport,inc.",2.0,0.0,IMC,Approach
3499,1982,Non-Fatal,Substantial,Airplane,PA-32R-300,1.0,Reciprocating,Part 135: Air Taxi & Commuter,"Heartland Enterprises, Inc.",0.0,0.0,IMC,Cruise
3516,1982,Non-Fatal,Substantial,Airplane,DHC-2,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Alvin D. Carrell,0.0,0.0,VMC,Landing
3525,1982,Non-Fatal,Substantial,Airplane,56TC,2.0,Reciprocating,Part 135: Air Taxi & Commuter,"Van Air,inc.",0.0,0.0,IMC,Takeoff
3526,1982,Non-Fatal,Substantial,Airplane,SA-227AC,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Pioneer Airlines,0.0,0.0,VMC,Takeoff
